timestamp,course_url,title,headline,is_bestseller,rating,num_reviews,num_students,instructor,language,price,discount,related_topics,sections,lectures,total_length
2025-10-07 06:14:21,https://www.udemy.com/course/the-complete-traefik-training-course/,The Complete Traefik Training Course,"Learn to Deploy, Configure, and Maintain Traefik",No,4.1,977,"5,654",Brian,English,319000.0,71%,"Microservices, Other IT & Software, IT & Software",10.0,66.0,5h 1m
2025-10-07 06:14:38,https://www.udemy.com/course/nestjs-the-complete-developers-guide/,NestJS: The Complete Developer's Guide,"Build full featured backend APIs incredibly quickly with Nest, TypeORM, and Typescript. Includes testing and deployment!",Yes,4.7,"8,674","50,209",Stephen,English,309000.0,83%,"NestJS, Web Development, Development",20.0,246.0,19h 45m
2025-10-07 06:15:09,https://www.udemy.com/course/deployment-of-machine-learning-models/,Deployment of Machine Learning Models,Learn how to integrate robust and reliable Machine Learning Pipelines in Production,No,4.4,"5,916","41,972",Soledad,English,309000.0,78%,"MLOps, ML Model Deployment, Data Science, Development",14.0,150.0,10h 26m
2025-10-07 06:15:24,https://www.udemy.com/course/the-microservices-bootcamp-with-aws/,The Microservices Bootcamp with AWS,Learn how to deploy Modern Web Apps in AWS through SAM and EKS,Yes,5.0,10,148,Taran,English,279000.0,30%,"Microservices, Other IT & Software, IT & Software",26.0,161.0,19h 8m
2025-10-07 06:15:43,https://www.udemy.com/course/master-docker-kubernetes-devops/,"Docker, Kubernetes & AWS with GitHub Actions for DevOps","Learn Docker, Kubernetes, AWS & GitHub Actions to build, deploy, and automate containerized applications",No,4.5,26,208,Mukesh,English,279000.0,30%,"DevOps, Software Development Tools, Development",14.0,137.0,19h 45m
2025-10-07 06:16:01,https://www.udemy.com/course/full-stack-course-by-smoljames/,Full Stack Course | Build & Deploy 4 Projects and Get Hired,"Master Full Stack Development, Build Real-World Apps, and Launch a Job-Ready Web Portfolio.",No,4.7,82,540,James,English,279000.0,30%,"Full Stack Web Development, Other IT & Software, IT & Software",5.0,38.0,15h 16m
2025-10-07 06:16:18,https://www.udemy.com/course/websphere-855-and-905-beginner-l1-l2/,WebSphere 8.5 & 9.0 - Network Deployment - L2 Administration,Master IBM WebSphere Application Server 8.5.5 & 9.0.5 Network Deployment - Administration & Configuration,Yes,4.5,1,16,Mohammed,English,279000.0,64%,"English Language, Other IT & Software, IT & Software",12.0,65.0,15h 1m
2025-10-07 06:16:37,https://www.udemy.com/course/aws-hands-on-guide-build-and-deploy-full-cloud-architecture/,AWS Hands-On Guide: Build and Deploy Full Cloud Architecture,Learn AWS by building a complete and scalable cloud environment from scratch step-by-step with real-world projects!,Yes,5.0,1,3,Kevin,English,279000.0,64%,"Amazon AWS, Network & Security, IT & Software",15.0,65.0,8h 9m
2025-10-07 06:17:08,https://www.udemy.com/course/blockchain-build-secure-and-deploy-real-world-applications/,"Blockchain: Build, Secure and Deploy Real-World Applications","Learn blockchain from fundamentals to smart contracts, security, Hyperledger, real-world applications across industries.",Yes,4.8,2,"1,573",Uplatz,English,279000.0,52%,"Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",12.0,58.0,60h 5m
2025-10-07 06:17:25,https://www.udemy.com/course/deploying-windows-11-in-modern-networks/,Deploying Windows 11 in Modern Networks,Windows 11 Deployment,Yes,0.0,"2,009",5,Wes,English,279000.0,64%,"Deployment, Operating Systems & Servers, IT & Software",6.0,71.0,17h 25m
